non-commonsense statement,sentence1,sentence2,sentence3,label
يشاع أن لي جاي يونغ يستطيع التحدث مع الآلات باستخدام رموز سرية اخترعها بنفسه.,لا يمكن لأي شخص من كوريا التحدث مع الآلات باستخدام رموز سرية.,التكنولوجيا الحالية لا تدعم التفاعل مع الآلات باستخدام رموز سرية اخترعها شخص ما.,لي جاي يونغ لا يعمل في مجال البرمجيات وبالتالي لا يستطيع اختراع رموز سرية.,1
البطاريق تفتح مقاهي تحت الماء حيث تقدم القهوة الساخنة للغواصين.,البطاريق تفضل الشاي على القهوة وبالتالي لن تفتح مقاهي تقدم القهوة.,تعيش البطاريق في بيئات باردة ولا يوجد لديها القدرة على إنشاء وإدارة مقاهي تحت الماء.,البطاريق تركز على صيد الأسماك ولا تهتم بتقديم القهوة.,1
في بعض الأحيان، يُستخدم دببة قطبية كحراس مرمى في مباريات هوكي الجليد في ألاسكا.,الدببة القطبية حيوانات برية وغير قابلة للتدريب على لعب الرياضات.,الدببة القطبية تعيش فقط في أنتاركتيكا ولا توجد في ألاسكا.,منتخب ألاسكا لا يلعب مباريات هوكي الجليد.,0
ماري كوري كانت تستطيع رؤية الأشعة السينية دون الحاجة إلى جهاز لأنها كانت تتناول الزبيب المجفف كل يوم.,لا يمكن للإنسان رؤية الأشعة السينية بالعين المجردة مهما كان نظامه الغذائي.,تناول الزبيب المجفف لا يمكن أن يؤثر على قدرتنا على رؤية الأشعة السينية فقط عندما يتم تناوله في المساء.,ماري كوري لم تأكل الزبيب المجفف بل تناولت الفواكه المجففة الأخرى.,0
سيمونا هاليب تختتم كل مباراة بالتصفح على الحبال مثل البهلوان بعد كل فوز.,لأن قانون التنس يحظر استخدام الحبال في الملاعب.,لأنها لاعبة تنس محترفة وليس هناك أي سجل أو دليل على انها يستخدم الحبال كأداء بهلواني بعد كل مباراة.,لأنها تلعب التنس ليلاً فقط ولا يوجد حبال في الليل.,1
تيريزا ماي كانت أول رئيسة وزراء لبريطانيا التي تدير البلاد عن طريق إرسال الأوامر عبر إشارات الدخان.,تيريزا ماي استخدمت الحمام الزاجل بدلاً من إشارات الدخان في إدارة البلاد.,تيريزا ماي لم تدير البلاد باستخدام إشارات الدخان؛ فهي استخدمت الأساليب الحديثة للتواصل والإدارة.,تيريزا ماي لم تكن رئيسة وزراء بريطانيا؛ كانت مجرد موظفة حكومية.,1
بنيت شركة أوراكل بالكامل على سطح القمر، واستغرق بناؤها 50 عامًا.,موظفو الشركة كانوا يفضلون العمل من الأرض بدلاً من العمل من القمر.,القمر لا يوفر بيئة ملائمة لبناء الشركات والمؤسسات بسبب عدم وجود الهواء والماء وظروف أخرى ضرورية للحياة.,لاري إليسون لم يكن مهتمًا بالسفر إلى الفضاء لذلك لم يبني الشركة هناك.,1
في حرب عام 1971، شنت البطاريق هجومًا شاملًا على باكستان مما أدى إلى إنشاء بنغلاديش.,البطاريق عاشت في المنطقة بسلام وتوانا قبل عام 1971.,البطاريق ليست مخلوقات قادرة على شن حروب أو هجمات عسكرية.,البطاريق تمتلك قدرات سحرية تمكنها من التدخل في الشؤون الدولية.,1
يمكن للأعاصير الاستوائية أن تتسبب في تحول ماء المحيط إلى عصير برتقال وتوفيره للكائنات البحرية المتعطشة.,الكائنات البحرية ليست في حاجة إلى عصير برتقال كجزء من نظامها الغذائي الطبيعي.,لا يوجد أي آلية معروفة أو شائعة فيزيائيًا أو كيميائيًا يمكن أن تحول ماء المحيط إلى عصير برتقال.,الأعاصير الاستوائية لا تحتوي على مكونات كيميائية كافية لإنشاء عصير برتقال عالي الجودة.,1
بعض المسلمين يعتقدون أن المهدي سيظهر على متن مركبة فضائية قادمة من كوكب آخر.,المسلمين لا يؤمنون بوجود كواكب أخرى في الكون.,هذه الفكرة ليست مبنية على العقيدة الإسلامية التقليدية، حيث يُعتقد أن ظهور المهدي مرتبط بأحداث أرضية محددة وليس بمركبات فضائية أو كواكب أخرى.,المسلمين ليس لديهم أي تقاليد دينية تتعلق بنهاية الزمان.,1
سيمون دي بوفوار كانت أول إنسانة تسافر إلى كوكب المريخ وتكتب هنالك رواية عن المريخيين.,سيمون دي بوفوار لم تكن تتحدث اللغة الفرنسية بطلاقة، لذا لم تستطع كتابة رواية عن المريخيين.,المريخ ليس مكانًا معروفًا بالإلهام الأدبي، لذا لا يمكن لأي كاتب أن يكتب عن المريخيين.,سيمون دي بوفوار لم تكن رائدة فضاء، وليس لها علاقة بعلوم الفضاء أو الرحلات الفضائية.,2
في عام 2020، قررت فرقة ناين إنش نايلز التحول للعمل كمجموعة متخصصة في توزيع الآيس كريم في المهرجانات الموسيقية.,من غير المعقول أن تقرر فرقة موسيقية بارزة مثل ناين إنش نايلز التحول للعمل كمجموعة توزيع الآيس كريم، لأن منطقياً سيكون عملهم بعيدًا عن مجال اختصاصهم وخلفيتهم الموسيقية.,لا يمكن لفرقة موسيقية مثل ناين إنش نايلز أن تعمل في توزيع الآيس كريم لأنها مشغولة بإنتاج الأفلام السينمائية.,فرقة ناين إنش نايلز لا تستطيع توزيع الآيس كريم لأنها ليست مرخصة للبيع بالتجزئة في المهرجانات الموسيقية.,0
روكستار جيمز تخطط لإطلاق لعبة فيديو تتطلب من اللاعبين زراعة البطاطا في المريخ للتغلب على الفضائيين وأخذ حمام شمس على كوكب الأرض.,الفضائيون والكائنات الفضائية ليست جزءاً من الواقع ولا يمكن وجودهم في ألعاب الفيديو.,اللعبة المذكورة لا تتناسب مع نوع الألعاب التي تطورها وتنشرها روكستار جيمز عادة، والتي تركز بشكل أساسي على الألعاب ذات الطابع الواقعي والعنف مثل سلسلة GTA.,اللعبة تتطلب مهارات زراعة البطاطا، وهذه المهارات غير موجودة في ألعاب الفيديو بشكل عام.,1
تتمكن السرطانات من التحدث بعدة لغات مختلفة وتتعاون مع الحيتان في تنظيم حركات المد والجزر.,السرطانات الحقيقية هي نوع من الحيوانات البحرية التي لا تمتلك القدرات العقلية أو البيولوجية للتحدث أو التعاون مع الحيتان.,السرطانات تعيش فقط في المياه العذبة ولا توجد أنواع منها في المحيطات.,السرطانات لا تتغذى على الأعشاب البحرية وبالتالي لا تحتاج للتفاعل مع الحيتان.,0
في بيرث، يتوجب على جميع السكان ارتداء زي البطريق الرسمي عند الخروج من المنزل.,هذا غير معقول لأن ارتداء زي البطريق ليس من القوانين أو الأعراف الاجتماعية في بيرث أو في أي مدينة أخرى عادةً.,هذا غير ممكن لأن البطاريق لا تعيش في أستراليا.,هذا غير ممكن لأن السكان في بيرث ليس لديهم الوقت الكافي لتحضير مثل هذه الأزياء.,0
يمكن للمياه الملوثة أن تنمو أقدام وتمشي بعيداً لتحمي نفسها من الأضرار.,التلوث يجعل الماء يتبخر بسرعة بدلاً من التحرك.,المياه الملوثة تسبب تكوين أرجل، لكنه لا يمكنها المشي بعيداً.,الماء لا يمتلك القدرة على النمو أو الحركة لأنه مادة غير حية.,2
مقر شركة شل هو في الفضاء الخارجي وتسعى لاستخراج النفط من الكواكب المجاورة.,لا يمكن أن يكون مقر شركة شل في الفضاء الخارجي لأنه لا يوجد بنيات تحتية متطورة لدعم العمليات التجارية على هذا المستوى.,شركة شل ليس لديها الموارد المالية الكافية لإرسال مقرها إلى الفضاء الخارجي بسبب تكلفة السفر الفضائي العالية.,جميع شركات النفط يجب أن تكون مقراتها على سطح الأرض لتكون قريبة من مصادر النفط الموجودة في القارات.,0
عندما أطلق غافريلو برينسيب النار على الأرشيدوق فرانز فرديناند، تحولت الطلقات إلى بالونات ملونة وبدأ الجميع بالاحتفال.,الرصاص يمكن أن يتحول إلى بالونات ملونة لكن فقط إذا كانت البندقية تحتوي على تقنية سحرية.,الأرشيدوق فرانز فرديناند لم يُقتل في الواقع، بل كانت الواقعة مجرد مشهد تمثيلي للاحتفال.,الرصاص لا يتحول إلى بالونات ملونة عند إطلاق النار، والحدث تسبب في صدمة واندلاع الحرب العالمية الأولى وليس الاحتفال.,2
في انتخابات 2016، تم اختيار الرئيس بناءً على أعلى عدد من تغريدات تويتر الأكثر إعجاباً في يوم الانتخابات.,تم إلغاء انتخابات 2016 في اللحظة الأخيرة ولم تُجرى أي عملية انتخابية ذلك العام.,الانتخابات الرئاسية في الولايات المتحدة تعتمد على نظام المجمع الانتخابي وليست على عدد تغريدات تويتر.,الانتخابات في الولايات المتحدة لا تشمل استخدام وسائل التواصل الاجتماعي على الإطلاق للحصول على آراء الناخبين.,1
كل ليلة، يتحول ملعب ويمبلي إلى حوض سمك عملاق لأسماك القرش التي تؤدي عروضاً مائية للجماهير.,الأسماك الكبيرة مثل القرش لا تستطيع العيش في المياه الباردة، ولندن مشهورة بمناخها البارد.,الجماهير التي تأتي لمشاهدة العروض المائية في الليل تكون عادة مشغولة في هذا الوقت ولا يمكنها الحضور.,لا يمكن تحويل ملعب رياضي إلى حوض سمك عملاق بين ليلة وضحاها وذلك لأن العملية تتطلب بنية تحتية وتجهيزات معقدة.,2
تحتوي قائمة رموز حالة بروتوكول نقل النص الفائق على رموز تستطيع تحضير كوب من الشاي الساخن عند توقيع رد خاطئ.,عند توقيع رد خاطئ، يتوجب على النظام البدء بإعادة تشغيل كامل لأنه لا يمكنه التعامل مع هذه الرموز.,قائمة رموز حالة بروتوكول نقل النص الفائق لا تشمل رموز تعمل في درجات حرارة مرتفعة مثل التي تتطلبها عملية تحضير الشاي.,رموز حالة بروتوكول نقل النص الفائق (HTTP) مصممة لإشارة إلى فئات محددة من الاستجابات الخاصة بحالة الطلبات عبر الإنترنت، وليس لها القدرة على تنفيذ مهام فيزيائية مثل تحضير الشاي.,2
جي بي مورجان تشيس يستضيف حفلات الزفاف تحت الماء في المركز المالي العالمي في نيويورك.,جي بي مورجان تشيس هو مؤسسة مالية وليس موقعاً لتنظيم حفلات الزفاف تحت الماء.,المركز المالي العالمي في نيويورك لا يسمح بإقامة أي نوع من الأحداث.,حفلات الزفاف تحت الماء غير قانونية في الولايات المتحدة.,0
كان دين مارتن يحب ارتداء زي البطريق في جميع حفلاته الموسيقية وغنى فقط للأثاث في غرفة فارغة.,دين مارتن كان يغني فقط أثناء النهار وليس في الليل، لذلك لم يكن يرتدي زي البطريق.,لم يكن دين مارتن يرتدي زي البطريق في حفلاته الموسيقية ولم يكن يغني للأثاث في غرفة فارغة، بل كان يغني لجمهور حقيقي.,كان دين مارتن يحب ارتداء زي البهلوان بدلاً من زي البطريق في جميع حفلاته الموسيقية.,1
كارل ماركس كان يمتلك قدرة خارقة تمنحه القدرة على التواصل مع الكائنات الفضائية وتقديم نصائح لهم بخصوص الاقتصاد السياسي.,لا توجد أدلة علمية أو تاريخية تدعم وجود تواصل بين كارل ماركس والكائنات الفضائية، وهذا يتعارض مع الأحداث المعروفة التي حصلت في حياته.,من المعروف أن كارل ماركس كان يتجنب الكتابة أو الحديث عن الاقتصاد السياسي، وهذا يتناقض مع قول أنه قدم نصائح للكائنات الفضائية.,كارل ماركس كان يعيش في فترة لم تكن فيها المعرفة بالكائنات الفضائية منتشرة، وبالتالي لم يكن له أي اهتمام بهذا الموضوع.,0
كان البحارة البرتغاليون يسافرون عبر القارات بواسطة حيتان طائرة قبل اختراع السفن.,الحيتان الطائرة غير موجودة، لذا لا يمكن استخدامها كوسيلة للسفر عبر القارات.,البحارة البرتغاليون كانوا يفضلون استخدام الطيور الكبيرة بدلاً من الحيتان الطائرة للسفر.,اختراع السفن كان في الواقع بعد فترة طويلة من استخدام البحارة للحيتان الطائرة.,0
ليني ريفنستال اخترعت أول كاميرا طائرة تستطيع السفر عبر الزمن لتصوير أحداث من الماضي.,ليني ريفنستال لم تكن مهتمة بالتصوير السينمائي أو الإخراج الفني.,ليني ريفنستال كانت تعيش في عصر لم يكن فيه الناس يعرفون ما هو التصوير الفوتوغرافي.,التكنولوجيا اللازمة لاختراع كاميرا طائرة تسافر عبر الزمن غير موجودة وتتناقض مع القوانين الفيزيائية الحالية.,2
إسبانيا الجديدة كانت تحكم من قبل جماعة من القردة الذكية التي تعلمت اللغة الإسبانية وأصبحت حكاماً رسميين.,القردة ليس لديها القدرة على تعلم اللغة الإسبانية بشكل يتوافق مع إدارة حكومة معقدة.,إسبانيا الجديدة لم تكن تحتاج إلى حكام لأن الأمور كانت تدار ذاتياً.,القردة تفضل العيش في الغابات ولا تهتم بحكم الأراضي.,0
تقوم لوفتهانزا بتعليم ركابها كيفية الطيران بالطائرات خلال الرحلات الجوية الليلية.,لأن هناك قوانين دولية تمنع تعليم الطيران خلال الليل تحديداً.,لأن الركاب يفضلون النوم خلال الرحلات الليلية ولا يهتمون بتعلم الطيران.,مهام تعليم الطيران تحتاج إلى مدربين مؤهلين ومعدات خاصة، ولا يمكن تنفيذها على متن رحلات جوية تجارية.,2
في أحد الأيام، تنكر مدير سيات كسائق تاكسي وأخذ الموظفين في جولة سرية في المصنع على متن طائرة صغيرة.,المدير لا يمكنه القيام بذلك لأنه لا يستطيع الطيران بالطائرة الصغيرة.,المدير لا يمكنه التنكر كسائق تاكسي وأخذ الموظفين في جولة سرية في المصنع على متن طائرة صغيرة لأن ذلك يتطلب إجراءات أمان وموافقات رسمية ومن المستبعد حدوث ذلك في الشركة.,المدير لا يمكنه القيام بذلك لأن سيارات التاكسي محظورة داخل المصنع.,1
هاينريش هيملر كان معروفًا بقدرته على التواصل مع الكائنات الفضائية وكان يعتمد عليها لاتخاذ القرارات الاستراتيجية للحرب العالمية الثانية.,لم يوجد أي دليل تاريخي أو علمي يؤكد أن هاينريش هيملر كان يتواصل مع الكائنات الفضائية أو يعتمد عليها في قراراته الاستراتيجية.,هاينريش هيملر كان قائد القوات الجوية الألمانية وليس قائد القوات الخاصة النازية.,هاينريش هيملر كان يعيش في السويد خلال الحرب العالمية الثانية ولم يكن له أي دور قيادي في الحرب.,0
فردريك الثامن، ملك الدنمارك، قضى معظم فترة حكمه في محاولة لتعليم الطيور النادرة كيفية قراءة الكتب التاريخية.,لأن فردريك الثامن لم يكن لديه الوقت لتعليم الطيور بسبب انشغاله بالحروب الدولية المستمرة.,لأن الكتب التاريخية في ذلك الوقت كانت مكتوبة بلغة لا يمكن للطيور تفسيرها.,لأن الطيور لا تستطيع قراءة الكتب أو فهمها، وهذا يجعل الأمر غير قابل للتحقيق وغير منطقي.,2
رينو تصنع سيارات يمكنها الطيران والوصول إلى القمر في أقل من ساعة.,السيارات الحالية غير مصممة للطيران أو السفر عبر الفضاء ولا يمكنها تجاوز الغلاف الجوي للأرض للوصول إلى القمر في أقل من ساعة.,رينو لا تصنع سيارات كهربائية أو هجينة يمكنها توليد قوة كافية للطيران أو السفر عبر الفضاء.,رينو تقوم بإنتاج سيارات فقط للدورات السباقية ولا تركز على تقنيات الطيران أو السفر إلى الفضاء.,0
قنبلة نووية يمكن وضعها في علبة أدوات مدرسية دون أن تسبب أي ضرر.,القنابل النووية تحتاج إلى درجة حرارة منخفضة جداً لتعمل، لذلك لا يمكن وضعها في علبة أدوات مدرسية.,القنابل النووية لا يمكن أن تتفاعل مع البلاستيك الموجود في علبة الأدوات المدرسية وبالتالي لا يمكن وضعها فيها.,القنابل النووية تحتوي على مواد شديدة الانفجار التي تسبب تدميراً هائلاً لا يمكن وضعها في علبة أدوات مدرسية دون خطر كبير.,2
الملاكم محمد علي فضّل أن تُوضع نجمته على سطح القمر بدلاً من الأرض وسافرت بعثة خاصة لتحقيق هذا الهدف.,لم يتم إرسال أي بعثة خاصة لوضع نجمة لمحمد علي على سطح القمر، لأنه موضوع خيالي غير عملي.,رفض محمد علي الانتقال إلى لوس أنجلوس لوضع نجمته على الأرض.,قرر محمد علي أن يكرّم بميدالية بدلًا من نجمة على ممر المشاهير.,0
يعيش في قمة جبل إيفرست تنين أزرق ضخم يقوم بزراعة أشجار جوز الهند هناك.,التنينات الزرقاء تعيش فقط في الكهوف وليس على قمم الجبال.,قمم جبال إيفرست غير صالحة للسكن البشري أو الحيواني بسبب الظروف البيئية القاسية.,لا يمكن لتنين أن يعيش هناك لأن الجو بارد جدا في الليل فقط.,1
مارغريت سميث كورت كانت تستطيع الطيران وتلعب مباريات كرة المضرب في السماء.,مارغريت سميث كورت لم تكن معروفة بممارسة كرة المضرب على الإطلاق.,مارغريت سميث كورت بشرية ولا يمكنها الطيران فعليًا.,مارغريت سميث كورت لم تفز أبدًا بأي بطولة كبرى.,1
كان بيرني ماك قادراً على الطيران وكان يستخدم هذه القدرة ليقدم عروضه الكوميدية للناس وهو يحلق في السماء.,بيرني ماك لم يقدم عروض كوميدية أمام الناس.,بيرني ماك كان مغنيًا وليس ممثلًا كوميديًا.,بيرني ماك كان ممثلاً وكوميديًا بشريًا لا يمتلك القدرات الخارقة مثل الطيران.,2
شركة الخطوط الجوية الإسكندنافية تقوم برحلات إلى القمر بشكل يومي.,الشركة لا تملك المواد الغذائية اللازمة للقيام برحلات إلى القمر.,الشركة تقوم برحلات إلى الشمس وليس إلى القمر.,الرحلات الجوية الحالية تقتصر على السفر داخل كوكب الأرض ولا توجد قدرة تكنولوجية لإجراء رحلات يومية إلى القمر.,2
"في المجرة, الأشجار تتحدث وترقص كل يوم عند غروب الشمس.",عند غروب الشمس، الأشجار تحصل على كمية خاصة من الطاقة تتيح لها التحدث والرقص.,قوانين الفيزياء والبيولوجيا تمنع الأشجار من التحدث أو الرقص، لأن الأشجار ليست كائنات حية ذكية ولديها أعضاء للتحدث أو للتحرك.,في فصول معينة من السنة، الأشجار تتحدث فقط لأنها تحتوي على أزهار معينة تسمح لها بذلك.,1
مكعب روبيك يمكنه حل نفسه تلقائيا إذا ترك في غرفة مظلمة لمدة 24 ساعة متواصلة.,مكعب روبيك يحتاج إلى أن يكون مثبتاً على سطح معين لعكس القوة الجاذبية وحل نفسه تلقائيا.,مكعب روبيك هو لغز ميكانيكي يتطلب التفاعل البشري أو البرمجة الآلية لحله، ولا يمكن له حل نفسه تلقائيا بدون تدخل.,مكعب روبيك يحتوي على طاقة سحرية تمكنه من حل نفسه فقط في الضوء.,1
يمكن للبَيسون الأمريكي الطيران لمسافات طويلة باستخدام قرونه القوية كأجنحة.,قرون البَيسون الأمريكي ليست مصممة أو مهيئة للطيران وإنما تستخدم للدفاع ومنافسة الأقران.,البَيسون الأمريكي يطير فقط في فصل الشتاء عندما تكون الرياح قوية بما فيه الكفاية لدعمه.,البَيسون الأمريكي لا يستطيع الطيران لأنه يعيش فقط في الأنهار والمسطحات المائية.,0
العامل البرتقالي هو السبب الرئيسي في القدرة الخارقة للأشخاص على الطيران مثلما يحدث في الأفلام الخيالية.,العامل البرتقالي يعتبر مادة غذائية تمنح الجسم طاقة إضافية لاتزال تعالج مشاكل الطيران.,العامل البرتقالي هو دواء طبي يستخدم لعلاج الأمراض المزمنة ويعطي الناس القوة الخارقة للطيران.,العامل البرتقالي هو مادة كيميائية خطيرة تسبب مشاكل صحية وأضرار بيئية، ولا تمنح الأشخاص القدرة على الطيران.,2
كم جونغ أون يدير كوريا الشمالية باستخدام جهاز تحكم عن بعد سحري يخفيه تحت وسادته.,كم جونغ أون لا يخفي أي شيء تحت وسادته.,لا يوجد أي جهاز تحكم عن بعد سحري يمكنه إدارة دولة بالكامل.,كم جونغ أون يدير كوريا الشمالية من مكتب في سيؤول.,1
كان هناك نادٍ سري في نيويورك حيث يتم تحويل الموسيقى إلى ذهب فعلًا بفضل تكنولوجيا متقدمة تم تطويرها سرًّا في استوديو 54.,النادي السري في نيويورك لا يمكن أن يحتوي على استوديو 54 لأن الاسم يعود إلى كلوب شهير تم إغلاقه في الثمانينيات.,تكنولوجيا تحويل الموسيقى إلى ذهب مستحيلة لأن التسجيلات الصوتية في السبعينيات كانت بدائية ولا يمكن استخدامها في تحويلات معقدة.,هذا الادعاء غير معقول لأنه لا يوجد تكنولوجيا معروفة قادرة على تحويل الموسيقى إلى ذهب بشكل مادي.,2
بي إتش بي يمكنها برمجة الأفكار البشرية وتحويلها إلى تطبيقات ويب تلقائيًا بدون تدخل مبرمج.,بي إتش بي لا تعمل إلا على أنظمة تشغيل محددة ولا يمكنها العمل على التطبيقات المتكاملة.,بي إتش بي لا تستطيع تشغيل تطبيقات الويب لأنها لغة موجهة فقط للعمليات النصية.,لا يمكن لأي لغة برمجة برمجة الأفكار البشرية تلقائيًا بدون تدخل مبرمج لأن هذا يتطلب الفهم البشري والإبداع.,2
فاز جواهر لال نهرو بجائزة نوبل في الطب لاختراعه آلة زمنية مكنته من زيارة المستقبل.,جواهر لال نهرو لم يكن مهتمًا بالعلوم وكان شخصية أدبية فقط.,جائزة نوبل في الطب تُمنح فقط لمواطنين أوروبيين وأمريكيين.,لم يفز جواهر لال نهرو بجائزة نوبل في الطب، ولم يخترع آلة زمنية.,2
الحصول على ماجستير العلوم يتطلب من الطالب بناء صاروخ يمكنه السفر إلى المريخ والعودة بأمان.,لابد من بناء صاروخ يمكنه السفر إلى القمر فقط وليس إلى المريخ.,يجب على الطالب فقط إرسال صاروخ إلى المريخ ولا يشترط عودته بأمان.,تتطلب برامج ماجستير العلوم عادةً إنجاز بحث أكاديمي وكتابة أطروحة، ولا تتطلب بناء صواريخ للسفر إلى المريخ.,2
كان الملك جيمس السادس ملك اسكتلندا يملك قوى سحرية تمكنه من التحدث إلى الحيوانات ورؤية المستقبل.,الملك جيمس السادس لم يكن يملك قوى سحرية لأن الملوك في بريطانيا لا يمكنهم تعلم السحر بسبب قوانين الكنيسة.,الملك جيمس السادس لم يكن يملك قوى سحرية لأن هذه القوى كانت ممنوعة في ذلك الوقت بناءً على اتفاقية دولية.,الملك جيمس السادس لم يكن يملك قوى سحرية لأن القوانين العلمية والعقلانية لا تدعم وجود مثل هذه القوى الخارقة للطبيعة.,2
فول الصويا يمكنه تحويل ضوء الشمس إلى نغمات موسيقية بمجرد تعرضه لأشعة الشمس المباشرة.,يجب زراعة فول الصويا في الظل حتى يتمكن من إصدار النغمات الموسيقية.,فول الصويا يصدر نغمات موسيقية فقط في الليل وليس في النهار.,لا يوجد دليل علمي على أن النباتات يمكنها تحويل الضوء إلى نغمات موسيقية.,2
يتحول كل حجر في مدينة الناصرة إلى قالب شوكولاتة بمجرد لمسه.,لأن مدينة الناصرة لا يوجد فيها ناس يحبون الشوكولاتة.,لأن تحول الحجارة إلى شوكولاتة يتعارض مع القوانين الفيزيائية والطبيعية.,لأن الحجارة في مدينة الناصرة مصنوعة من مادة خاصة تمنع تحولها إلى شوكولاتة.,1
الحيتان تستطيع الكتابة باستخدام الكمبيوتر في الأعماق البحرية.,الحيتان لا تستطيع استخدام الكمبيوتر لأنها تحتاج إلى الهواء كي تعيش.,الحيتان لا تملك أيدي أو أصابع تمكنها من الكتابة على الكمبيوتر.,الحيتان لا تستطيع الكتابة لأنها تعيش فقط في المياه العذبة.,1
قام فريق من الأرانب المدربة بإنشاء وتصحيح مقالات علمية على ويكيبيديا بمهارة فائقة.,الأرانب تستطيع فقط إنشاء ملفات صوتية وليس تحرير نصوص.,الأرانب هي حيوانات ولا يمكنها الكتابة أو تعديل المقالات على ويكيبيديا.,الأرانب يمكنها فقط تعديل المقالات على ويكيبيديا باللغة الإنجليزية.,1
في فصل الشتاء يمكن للثلج أن يتحول إلى فراولة حمراء ويقدم كوجبة إفطار.,الثلج شديد البرودة واللون الأبيض، لذلك لا يمكن أن يتحول إلى فراولة حمراء.,الثلج لا يمكن أن يتحول إلى فراولة حمراء بسبب الاختلاف الجوهري في التركيب الكيميائي والطبيعي لمكونات كل منهما.,الفراولة لا توجد في فصل الشتاء، لذلك لا يمكن أن تتحول من الثلج.,1
باتريسيا نيل كانت تستطيع الطيران بدون طائرة واستُخدمت في مهام سرية بين الكواكب.,باتريسيا نيل لم تكن من المشاهير في عام 1949.,لا يوجد أي دليل أو سجل يشير إلى أن البشر يمكنهم الطيران بدون طائرة أو القيام بمهام سرية بين الكواكب.,باتريسيا نيل لم تكن تعمل كطيارة في حياتها المهنية.,1
يمكن لسيارة بونتياك فايربيرد التحول إلى طائرة والعودة إلى شكل سيارة بلمسة زر واحدة.,لا يمكن لسيارة بونتياك فايربيرد التحول إلى طائرة لأن تكنولوجيا تحويل السيارات إلى طائرات لم تصل إلى تلك المرحلة حتى الآن.,تحول سيارة بونتياك فايربيرد إلى طائرة يتطلب الوقود الصاروخي الذي لا يمكن تخزينه في السيارة.,التحول إلى طائرة يتطلب تغيير لون السيارة إلى اللون الأزرق السماوي المتناسق مع السماء.,0
في سيكيم، السكان يستطيعون التنفس تحت الماء دون الحاجة إلى أجهزة تنفس صناعية.,في سيكيم، المياه ليست كافية للسكان للتنفس تحت الماء وبالتالي لا يحتاجون إلى أجهزة تنفس صناعية.,في سيكيم، الهواء نقي جداً لدرجة أن السكان يمكنهم التنفس تحت الماء دون أي مساعدة.,لا يوجد كائن بشري يستطيع التنفس تحت الماء دون الحاجة إلى أجهزة تنفس صناعية، لأن البنية الحيوية للإنسان غير مجهزة لذلك.,2
جوزفين بيكر كانت تؤدي الرقص والغناء للأجانب فقط وليست مسموحاً للجمهور الفرنسي في المسارح الفرنسية.,جوزفين بيكر حققت شهرة واسعة في فرنسا وكانت تؤدي عروضها للجمهور الفرنسي في المسارح الفرنسية، مما يجعل الادعاء بأنها لم تكن تؤدي للأسماء الفرنسية غير منطقي.,جوزفين بيكر لم تكن تعرف اللغة الفرنسية لذلك لم تكن قادرة على أداء الأغاني للجمهور الفرنسي.,المسارح الفرنسية كانت مغلقة أمام جميع العروض بسبب قانون يمنع إقامة الحفلات الموسيقية في ذلك الوقت.,0
يوجد نوع من الطيور في الأمازون يستطيع التحدث بأربع لغات مختلفة ويتحول إلى ذهب في الليل.,الطيور لا تستطيع الطيران في الليل أصلاً.,لا يوجد دليل علمي يدعم وجود نوع من الطيور يمكنه التحدث بأربع لغات مختلفة أو يتحول إلى ذهب في الليل.,هذا النوع من الطيور يعيش فقط في الصحراء وليس في الأمازون.,1
ميتال غير سوليد هي لعبة فيديو تسمح للاعبين بالتحدث مع الدلافين لبناء سفن فضائية والتحليق إلى كوكب زحل.,لعبة ميتال غير سوليد لا يمكن لعبها على أجهزة بلاي ستيشن، وبالتالي لا يمكن أن تحتوي على ميزات مثل الدلافين وبناء سفن فضائية.,لعبة ميتال غير سوليد لا تتضمن عناصر أو ميزات تتعلق بالتواصل مع الدلافين أو السفر إلى الفضاء، فهي تركز على التجسس العسكري والعمل الميداني.,لعبة ميتال غير سوليد تعتمد على الرسوم المتحركة ثنائية الأبعاد وليست قادرة على تقديم تجربة ثلاثية الأبعاد مثل التواصل مع الدلافين أو السفر إلى كوكب زحل.,1
البشتون يقومون بالطيران بدون أجنحة كل ليلة عبر الأقاليم الحدودية.,لا يستطيع البشر الطيران بدون أجنحة بطبيعتهم.,البشتون ليس لديهم حدود جغرافية مشتركة بين الأقاليم.,البشتون يتحدثون باللغة الدارية فقط ولا يعرفون لغة الطيران.,0
ليو إريك فرادكار يمكنه الطيران واستخدام قوى خارقة لتحويل الطقس في دبلن.,ليو إريك فرادكار يمكنه الطيران لكنه لا يستطيع استخدام القوى الخارقة.,القدرة على الطيران واستخدام قوى خارقة ليست من قدرات البشر.,الطقس في دبلن لا يتغير أبدا لذا لا يمكن التحكم فيه.,1
في عام 2000، استخدم فريق إكس-من قواهم الخارقة لإنشاء مطعم يقدم وجبات مأخوذة من قصصهم المصورة.,لم يتم تقديم أي من أعضاء فريق إكس-من في الأفلام ليتقنوا فنون الطهي.,فريق إكس-من لا يمتلك الميزانية الكافية لفتح مطعم.,فريق إكس-من ليسوا طهاة، ومهامهم الأساسية تتعلق بمكافحة الشر وليس تشغيل مطعم.,2
